# V4.1 prompt-batch flow model: every constant ds41_prefill.py reads, one per row.
# kind: measured (a recorded run), derived (arithmetic on recorded numbers or code), assumed (no record; in the uncalibrated table).
# anchor: the backtest row a value was taken from; that row is not scored against it.
name	value	lo	hi	unit	kind	conditions	source	anchor	note
router_tok	15.1	13.1	21.56	us	derived	one-token router launch in the pre-ds41bulk batch	docs/plan-ledger.md:1167 (21.56 before ds41router, -0.26 ms/step predicted after; floor 7.86 MB at 600 GB/s)		
places	2.05	2.05	2.05	us	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): ds41_ffn_places	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
expert_gu_bytes	10137600	10137600	10137600	B	derived	Q3_K gate+up, 2 x 2304 x 5120	docs/facts.md:9-16; docs/research/h3tile-b-design-report.md:57		
expert_down_bytes	6635520	6635520	6635520	B	derived	Q4_K down 5120 x 2304	docs/facts.md:12		
expert_bytes_host	16860000	16860000	16860000	B	derived	plan (a) host set 214.0 GB / 12,692 experts	AGENTS.md (BLOOMERY_CARD_DONTNEED entry)		two Q5_K-down layers raise the mean over 16,773,120
ring_slot_bytes	18250000	18250000	18250000	B	derived	the largest routed expert (Q5_K down)	docs/research/hoststream-design-report.md:120		
s_host_lcg	4.7131	4.7131	4.7131	slots/token-layer	measured	lcg prompt, hot list 384, P 512 CED off: 96,525 host slots / 20,480	rig-log log/2026-09-25.md#v41-prefill-resit-b	S13b.slots.off	a routing count of that run, not a time
prose_host_cols	1011.2	1011.2	1011.2	cols/512 tokens	measured	ik router trace, prose, 50,000 tokens, card = prose's own top-70	docs/research/hoststream-recal-report.md:48		counts.tsv itself is in no repo file (missing); the curve is rebuilt from these points
prose_card_cols	29.4	29.4	29.4	cols/512 per card expert	measured	same trace	docs/research/hoststream-recal-report.md:48		
prose_n_l	70	70	70	experts/layer	measured	the trace's card set	docs/research/hoststream-recal-report.md:48		
prose_ntok	50000	50000	50000	tokens	measured	the prose router trace's length	tools/flow/prose-counts.tsv (docs/research/hoststream-recal-report.md:37-39)		counts x 512 / this = columns per 512 tokens
prose_r0	10.8	10.8	10.8	cols/512	measured	host rank 0	docs/research/hoststream-recal-report.md:50		
prose_r40	7.1	7.1	7.1	cols/512	measured	host rank 40	docs/research/hoststream-recal-report.md:50		
prose_r80	5	5	5	cols/512	measured	host rank 80	docs/research/hoststream-recal-report.md:50		
prose_r120	3.4	3.4	3.4	cols/512	measured	host rank 120	docs/research/hoststream-recal-report.md:50		
prose_r200	1.4	1.4	1.4	cols/512	measured	host rank 200	docs/research/hoststream-recal-report.md:50		
prose_r313	0	0	0	cols/512	measured	host rank 313	docs/research/hoststream-recal-report.md:50		
prose_share40	0.353	0.353	0.353	fraction	measured	host columns the hottest 40 host experts take	docs/research/hoststream-recal-report.md:49		self-test target of the rebuilt curve
prose_share80	0.595	0.595	0.595	fraction	measured	hottest 80	docs/research/hoststream-recal-report.md:49		
prose_share120	0.76	0.76	0.76	fraction	measured	hottest 120	docs/research/hoststream-recal-report.md:49		
prose_share160	0.871	0.871	0.871	fraction	measured	hottest 160	docs/research/hoststream-recal-report.md:49		
w	126.4	126.4	126.6	us	measured	one expert read at m = 1, 32 threads	rig-log log/2026-09-25.md#hosttile-union-f (union:4 20.23 ms / 160); #host-union-column-cost-m1 (20.26)		
a_union	30.2	28.1	30.2	us	measured	engine union after unionreal (3c2c432), bench two-point fit m 8, 16	rig-log log/2026-09-25.md#h3tile-ab (union arm, 751f192); lo: #h1fold-union (5685a15, before unionreal)		S13 ... S15 run this union
c_union	22.2	22.2	22.98	us	measured	same	rig-log log/2026-09-25.md#h3tile-ab; hi: #h1fold-union		
a_hosttile	40.4	40.4	40.4	us	derived	hosttile tile (220cfd8), the union ds41batch ran	rig-log log/2026-09-25.md#hosttile-union-f (41.05, 75.63 ms at m 8, 16); docs/plan.md:76		
c_hosttile	27.02	27.02	27.02	us	derived	same	rig-log log/2026-09-25.md#hosttile-union-f		
unionreal_cut	3	2	4	ms/layer	derived	x re-quantized per 8-expert chunk before unionreal (420 MB a layer)	docs/plan.md:76		only the ds41batch rows read it (x re-quantized per chunk)
a_r8	38	38	59.4	us	derived	row-lane r8 tile under the lanes dispatch of h3tile-b; hi = as measured under the bench queue	docs/research/h3tile-b-design-report.md:192-200; rig-log log/2026-09-25.md#h3tile-ab (unionr8 59.4 / 14.63)		
c_r8	13.05	13.05	14.63	us	derived	same	docs/research/h3tile-b-design-report.md:192-200; rig-log log/2026-09-25.md#h3tile-ab		
copy_gbs	15	12	20	GB/s	assumed	the union's copy of x (T x 20,480 B) before hostserve (c58cb37)	docs/research/ds41overlap-design-report.md:76 (10.5 MB copy a layer)		after hostserve the union borrows the pinned buffer: 0
prologue_tok	77.3	75.3	79.3	us/token	measured	plan_batch (plans, rows, images, H2D), warm second round	rig-log log/2026-09-25.md#v41-prefill-s14 (40.6 ms at 512, 308.3 at 4096)	S14.prologue	
prologue_cold_extra_512	68.2	68.2	68.2	ms/prompt	measured	S14 expert arm, P 512, round 1: the lease's first process	rig-log log/2026-09-25.md#v41-prefill-s14 (prologue 108.8 ms in round 1 against 40.6 in round 2)		added to that arm's round-1 wall only; its recorded pp is the mean of both rounds
prologue_cold_extra_4096	529.2	529.2	529.2	ms/prompt	measured	S14 expert arm, P 4096, round 1: the lease's first 4096 arm	rig-log log/2026-09-25.md#v41-prefill-s14 (837.5 ms against 308.3)		same
t_issue	3.2	2.2	5.3	us/item	derived	host issue of one queue item (3090 gate run, P 513, unblocked)	docs/research/cardroute-design-report.md:122; commit 9d61a13 message (enqueue 3.5 ms at P 513); rig-log log/2026-09-21.md (eager empty kernel 2.233 us)		hi: nsys's 6.31 us an activity x 1,350 / 1,607 calls = 5.3 us a call, inflated by the API trace; per call (activity or event)
head	0.78	0.78	0.78	ms	measured	q6_K head, once a prompt	docs/research/v41-b4-plan-report.md:263 (775.6 us, B9)		
anchor_union_s13b	76.1	76.1	76.1	ms/layer	measured	union_ms / 40, P 512 CED off lcg	rig-log log/2026-09-25.md#v41-prefill-resit-b	S13b.union.off	X_u, the union's named residual, = this - the kernel sum - the chunk flow's cause terms (per host slot)
anchor_union_s14s	72.4	72.4	72.4	ms/layer-batch	measured	union, P 512 CED on lcg, slot arm	rig-log log/2026-09-25.md#v41-prefill-s14	S14.p512.slot.union	the alternate anchor
dram_eff	126	112	140	GB/s	assumed	host DRAM ceiling while the union and the ring fill overlap	docs/research/hoststream-design-report.md:124; docs/plan.md:75 (BW_host 135-147.7)		the DRAM contention probe has not run
fill_crossings	3	3	4	crossings	derived	mapping read, ring write, DMA read (4 with RFO)	docs/research/hoststream-design-report.md:77,121		
fill_steal	0.04	0	0.08	fraction	assumed	union cores the fill threads' SMT siblings take	docs/research/hoststream-design-report.md:50		
stream_gcol	3	1.5	5	us/column/expert	derived	card GEMM of a streamed expert, a5gemm MoE 47.3 TOPS with a x2 margin	docs/research/hoststream-design-report.md:76; rig-log log/2026-09-25.md#a5gemm-a6000		
stream_gfix	28	14	56	us/expert	assumed	fixed cost of one streamed expert's GEMM	docs/research/hoststream-design-report.md:76 (kernel speed moves the model by 0)		x0.5-x2 assumed: at G8 the card binds, so the stream GEMM's fixed cost is not under PCIe's shadow here
ring_borrow	128	128	128	slots	derived	ring borrowed from the cold card experts during the prompt	commit 4fe0527 (triage: ring 128 borrowed from the cold card experts during long prompts)		
ring_small	8	8	8	slots	derived	the pinned ring the lead accepted without borrowing (146 MB)	docs/research/hoststream-design-report.md:120-123; docs/plan-triage.md:43 ('링 8은 리드가 받는다')		used where the prompt is too short to borrow
borrow_min_p	1024	1024	1024	tokens	derived	shortest prompt that borrows the 128-slot ring (re-upload <= 2 % of the prompt)	docs/plan-triage.md:43 ('초안 P >= 1024')		a draft threshold of the decided design
borrow_reupload	89	89	89	ms/prompt	derived	re-upload of the borrowed slots after the prompt from a pinned copy: 2.34 GB at 26.3 GB/s	docs/research/h3tile-b-design-report.md:95,100		the pinned-copy design (docs/research/h3tile-b-design-report.md:291, recommended); the NVMe case is borrow_reupload_nvme
borrow_reupload_nvme	1800	1800	1800	ms/prompt	derived	the same re-upload read from NVMe after BLOOMERY_CARD_DONTNEED dropped the sources: 2.34 GB at 1.33 GB/s	docs/research/h3tile-b-design-report.md:100		a design variant printed beside the band, not a range of it
gemm_tops_dense	66.4	66.4	66.4	TOPS	measured	a5gemm dense 2048 x 2048 Q4_K, T 512	rig-log log/2026-09-25.md#a5gemm-a6000		
gemm_tops_moe	47.3	47.3	47.3	TOPS	measured	a5gemm MoE, T 512	rig-log log/2026-09-25.md#a5gemm-a6000		the pessimistic rate for a Q3_K projection GEMM, which does not exist yet
gemm_tops_proj	66.4	47.3	66.4	TOPS	derived	the rate a Q3_K projection GEMM would run at, T 512 (no such kernel yet)	rig-log log/2026-09-25.md#a5gemm-a6000 (dense 66.4, MoE 47.3); docs/research/cardroute-design-report.md:244		B4 only; lo = the MoE rate
n_card_total	2668	2668	2668	experts	measured	plan (a) public file, card experts	rig-log log/2026-09-25.md#v41-prefill-s14 (card 2,668, host 12,692); plan line 'n_l=70..71 on 38 layers'		
card_first_layer	2	2	2	layer	measured	plan (a): layers 0 and 1 hold no card expert (N_s 321 = the shadow without grouped kernels)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		the plan line's 38 layers are 2-39
s_host_lcg_nohot	4.975	4.975	4.975	slots/token-layer	measured	lcg prompt, no hot list (the runner default), P 512 CED on: 95,679 host slots / 19,232 block positions	rig-log log/2026-09-26.md#uniondispatch-ab; bloomery-ee scratch wave-m6/ud-sit/depth.log		P 4096 reads 529,761 / 106,400 = 4.9790 (the prompt differs)
proj_qkv_us	28.3	28.3	28.3	us/launch	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 3 chunk 32, m 8, grid 224 blocks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		q3k_gemv 1792 x 5120, 40 regs, 0.44 waves
proj_qb_us	70.8	70.8	70.8	us/launch	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 3 chunk 32, m 8, grid 4096 blocks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		q3k_gemv 32768 x 1280, 8.13 waves, LSU-bound (ncu 82.4 %)
proj_woa_us	100.0	100.0	100.0	us/launch	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 3 chunk 32, m 8, grid 1024 blocks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		ds41_q3k_gemv_heads_mcol 8192 x 4096, 80 regs (3 blocks/SM), 4.06 waves
proj_wob_us	119.1	119.1	119.1	us/launch	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 3 chunk 32, m 8, grid 640 blocks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		q3k_gemv 5120 x 8192, 1.27 waves
full_res_lat	0	-1	1	mode	assumed	the per-iteration step of a full-residency wave: 0 = each launch's own measured L; +1 = the long-K q3k launches (qkv, wo_b) at wo_b's wave-1 L if its tail wave ran at qkv's (2 x 3.69 - 2.71 = 4.66 us); -1 = a grouped (B1) launch whose weights come from L2 runs at its busiest unit (LSU at q_b's efficiency)	rig-log log/2026-09-26.md#v41-prefill-nsys (one grid shape per kernel: L at full residency is not fixed by the data)		B1's one box term; +1 moves no chunk-loop time (wo_b's two waves sum to the same)
dmd_qkv_iss	566.2	566.2	566.2	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: issue (inst/warp-iter x 8 / 4 schedulers)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_qkv_lsu	609.6	609.6	609.6	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: LSU (pipe_lsu x 8 x 2 cycles, a SM)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_qkv_l1	453.6	453.6	453.6	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: L1TEX data pipe (wavefronts x 8)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_qb_iss	651.3	651.3	651.3	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: issue (inst/warp-iter x 8 / 4 schedulers)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_qb_lsu	800.0	800.0	800.0	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: LSU (pipe_lsu x 8 x 2 cycles, a SM)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_qb_l1	512.6	512.6	512.6	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: L1TEX data pipe (wavefronts x 8)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_woa_iss	614.0	614.0	614.0	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: issue (inst/warp-iter x 8 / 4 schedulers)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_woa_lsu	630.0	630.0	630.0	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: LSU (pipe_lsu x 8 x 2 cycles, a SM)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_woa_l1	463.5	463.5	463.5	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: L1TEX data pipe (wavefronts x 8)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_wob_iss	552.6	552.6	552.6	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: issue (inst/warp-iter x 8 / 4 schedulers)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_wob_lsu	579.0	579.0	579.0	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: LSU (pipe_lsu x 8 x 2 cycles, a SM)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
dmd_wob_l1	439.1	439.1	439.1	cycles/block-step	measured	A6000, ncu at 1.40 GHz fixed, caches flushed per pass, layer 3 chunk 32, m = 8, bloomery afe86d5: L1TEX data pipe (wavefronts x 8)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch ncu-summary-3.txt		an instruction count, clock-free; divide by f_sm for us
attn_seg_l2	38.25	38.25	38.25	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2 (ratio 2), mean over its 64 chunks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		ds41_attn_seg_sel_stage; the decode slope (plan-ledger.md:1176) carries it to other key counts
fork_overlap	27.82	27.82	27.82	us/full chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): the branch's HC_PRE under the main stream, 1.672 ms a layer-batch over 60.1 full chunks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		chain/attn.rs:1493 forks HC_PRE beside steps 2-8
part_chunk	38.73	38.73	38.73	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): latent-only chunks, 0.061 ms a layer-batch x 40 / 63 chunks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		none of the 63 is a source layer's
engram_chunk	355.3	355.3	355.3	us/chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): engram, 1.137 ms a layer-batch x 40 over 2 layers x 64 chunks (m 8)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		scaled by m / 8 for a short chunk
router_tile	9.816	9.816	9.816	us/8-token tile	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): ds41_router_scores 628.23 us over 64 tiles	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		router.rs:744 re-reads the f32 matrix per tile
pick	9.92	9.92	9.92	us	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): ds41_router_pick at T 512	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
d2h_gbs	19.15	19.15	19.15	GB/s	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): the route's three D2H, 547.6 us for x (10.49 MB) + ids + weights	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
post_h2d_gbs	19.0	19.0	19.0	GB/s	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): the host sums' H2D, 551.9 us for 10.49 MB	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
post_batch_tok	0.3621	0.3621	0.3621	us/token	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): ds41_ffn_post_batch 185.38 us at T 512	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
gap_act	0.898	0.79	0.96	us/route activity	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): card idle in the route window 1.252 ms / 1,394 activities (lo/hi: layers 0 and 1)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		replaces the graph-node gap 1.41 (derived)
q_act	1068	1056	1076	activities	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): activities (kernels, copies) in flight when the host blocks; events (record, wait) are not counted	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		lo/hi: the per-layer plateaus; 1,326 calls up to the event
shadow_chunk	114.34	114.34	114.34	us/full chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2: shexp gate-up 42.49, q4k down 31.51, hc_pre 25.42, norm_quant 6.12, quantize 3.93, rows_to_tokens 2.52, 2 D2D 2.35	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
shadow_chunk_nocard	152.27	152.27	152.27	us/full chunk	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]): layers 0 and 1 (no card expert), 9.76 and 9.73 ms over 64 chunks	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
shadow_lb	166.3	166.3	166.3	us/layer-batch	measured	A6000 300 W, public Q3_K_M, plan (a), hot list 384, lcg P 512, CED on, bloomery afe86d5, nsys device timestamps (running clock ~2.0 GHz [derived]), layer 2: card_buckets 129.2 + card_acc 37.0	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		
shadow_slot	23.51	23.51	23.51	us/card slot	derived	the grouped gate-up + down over layers 2-39: shadow 22.273 - 59.89 x 114.34 us - 0.166 = 15.26 ms a layer-batch over 649.1 card slots (lcg, hot list 384)	rig-log log/2026-09-26.md#v41-prefill-nsys; nsyspp scratch an-pp512-box.txt		per slot, not per (expert, tile): the per-tile reading (136 us) is 3x the grid law's; untraced
wake_us	1.61	1.61	1.61	us/dispatch	measured	the thread pool's empty dispatch, 32 threads	AGENTS.md ('the pool bench went 4.56 -> 1.61 us per dispatch')		
steal_blocks	4	4	4	blocks/lane	derived	the row pool's steal block, lane / 4 (BLOOMERY_STEAL_BLOCKS default)	crates/model/src/ops.rs:2624 (steal_blocks)		
union_block_rows	144	144	144	rows	derived	the five-dispatch flow's steal-block cap	crates/model/src/ops.rs (UNION_BLOCK_ROWS), 9626c7f		
